Decade,Name,Number,Rank
1920,Liam,0.0,12
1920,Mary,35208.35,1
1920,Daniel,0.0,12
1920,Jason,0.0,12
1920,Andrew,0.0,12
1930,George,0.0,12
1930,Olivia,0.0,12
1930,Mark,0.0,12
1930,Jennifer,0.0,12
1930,Michael,0.0,12
1930,John,24520.2,4
1930,Helen,0.0,12
1930,Mason,0.0,12
1930,Lisa,0.0,12
1930,Linda,0.0,12
1930,Noah,0.0,12
1930,Jessica,0.0,12
1930,Liam,0.0,12
1930,Jacob,0.0,12
1930,Nicholas,0.0,12
1930,Joshua,0.0,12
1930,James,27512.6,3
1930,Matthew,0.0,12
1930,Joseph,0.0,12
1930,Margaret,0.0,12
1930,Isabella,0.0,12
1930,Jason,0.0,12
1930,Robert,29670.15,1
1930,David,0.0,12
1930,Betty,15089.6,8
1930,Sophia,0.0,12
1930,Elizabeth,0.0,12
1930,Christopher,0.0,12
1930,Barbara,14878.7,9
1930,Charles,15245.0,7
1930,Ashley,0.0,12
1930,Donald,14238.25,10
1930,Brian,0.0,12
1930,Mary,28796.65,2
1930,Emily,0.0,12
1930,Daniel,0.0,12
1930,Anna,0.0,12
1930,William,20926.0,5
1930,Richard,16584.75,6
1930,Dorothy,0.0,12
1930,Andrew,0.0,12
1930,Patricia,0.0,12
1930,Emma,0.0,12
1930,Ruth,0.0,12
1930,Amanda,0.0,12
1930,Frank,0.0,12
1930,Ethan,0.0,12
1940,Daniel,0.0,12
1940,Jessica,0.0,12
1940,Christopher,0.0,12
1940,Michael,0.0,12
1940,Robert,38005.95,2
1940,Jennifer,0.0,12
1940,Donald,0.0,12
1940,Dorothy,0.0,12
1940,Nicholas,0.0,12
1940,Jason,0.0,12
1940,David,21366.85,8
1940,Olivia,0.0,12
1940,Ruth,0.0,12
1940,Charles,0.0,12
1940,Amanda,0.0,12
1940,Mark,0.0,12
1940,William,27894.4,5
1940,Andrew,0.0,12
1940,Margaret,0.0,12
1940,Anna,0.0,12
1940,Mason,0.0,12
1940,Lisa,0.0,12
1940,John,35680.15,3
1940,Ashley,0.0,12
1940,Linda,26647.15,6
1940,Sophia,0.0,12
1940,Liam,0.0,12
1940,Betty,0.0,12
1940,Brian,0.0,12
1940,Joshua,0.0,12
1940,Matthew,0.0,12
1940,Joseph,0.0,12
1940,Barbara,21319.45,9
1940,Elizabeth,0.0,12
1940,Mary,32115.05,4
1940,Patricia,20631.55,10
1940,Helen,0.0,12
1940,Emily,0.0,12
1940,Jacob,0.0,12
1940,Frank,0.0,12
1940,Emma,0.0,12
1940,Noah,0.0,12
1940,Ethan,0.0,12
1940,Richard,23928.05,7
1940,George,0.0,12
1940,Isabella,0.0,12
1940,James,39910.6,1
1950,Michael,41970.2,2
1950,Brian,0.0,12
1950,Ruth,0.0,12
1950,Joshua,0.0,12
1950,Jessica,0.0,12
1950,Helen,0.0,12
1950,Ashley,0.0,12
1950,Daniel,0.0,12
1950,Christopher,0.0,12
1950,Isabella,0.0,12
1950,Emma,0.0,12
1950,John,39976.35,4
1950,Matthew,0.0,12
1950,Barbara,0.0,12
1950,Lisa,0.0,12
1950,Linda,28271.5,8
1950,Noah,0.0,12
1950,Liam,0.0,12
1950,Charles,0.0,12
1950,Ethan,0.0,12
1950,Betty,0.0,12
1950,Joseph,0.0,12
1950,Patricia,23030.4,10
1950,Sophia,0.0,12
1950,Mason,0.0,12
1950,Olivia,0.0,12
1950,Margaret,0.0,12
1950,Richard,26815.35,9
1950,Mark,0.0,12
1950,Andrew,0.0,12
1950,James,42296.7,1
1950,Donald,0.0,12
1950,William,29618.65,7
1950,Dorothy,0.0,12
1950,Elizabeth,0.0,12
1950,Nicholas,0.0,12
1950,Mary,31353.55,6
1950,Amanda,0.0,12
1950,George,0.0,12
1950,Frank,0.0,12
1950,Jennifer,0.0,12
1950,Jacob,0.0,12
1950,Emily,0.0,12
1950,Robert,41611.7,3
1950,Anna,0.0,12
1950,Jason,0.0,12
1950,David,38557.25,5
1960,George,0.0,12
1960,Anna,0.0,12
1960,Mary,17828.35,10
1960,Joshua,0.0,12
1960,Amanda,0.0,12
1960,Betty,0.0,12
1960,William,21170.15,8
1960,Barbara,0.0,12
1960,Liam,0.0,12
1960,Ethan,0.0,12
1960,Olivia,0.0,12
1960,Mark,22143.0,7
1960,Helen,0.0,12
1960,Andrew,0.0,12
1960,Margaret,0.0,12
1960,Linda,0.0,12
1960,Mason,0.0,12
1960,Lisa,24913.75,6
1960,Frank,0.0,12
1960,Sophia,0.0,12
1960,Ashley,0.0,12
1960,Noah,0.0,12
1960,James,34400.2,4
1960,Brian,0.0,12
1960,Ruth,0.0,12
1960,Jessica,0.0,12
1960,David,36834.75,2
1960,Daniel,0.0,12
1960,Jennifer,0.0,12
1960,Patricia,0.0,12
1960,Jacob,0.0,12
1960,Donald,0.0,12
1960,Christopher,0.0,12
1960,John,35819.95,3
1960,Emily,0.0,12
1960,Richard,18773.75,9
1960,Jason,0.0,12
1960,Michael,41854.15,1
1960,Robert,32682.95,5
1960,Charles,0.0,12
1960,Elizabeth,0.0,12
1960,Isabella,0.0,12
1960,Emma,0.0,12
1960,Joseph,0.0,12
1960,Matthew,0.0,12
1960,Nicholas,0.0,12
1960,Dorothy,0.0,12
1970,Sophia,0.0,12
1970,Anna,0.0,12
1970,David,22424.85,5
1970,Nicholas,0.0,12
1970,Amanda,0.0,12
1970,Jacob,0.0,12
1970,Frank,0.0,12
1970,Dorothy,0.0,12
1970,Mary,0.0,12
1970,Margaret,0.0,12
1970,Andrew,0.0,12
1970,Donald,0.0,12
1970,Olivia,0.0,12
1970,Richard,0.0,12
1970,George,0.0,12
1970,Mark,0.0,12
1970,William,14272.25,10
1970,Elizabeth,0.0,12
1970,Jason,23271.4,4
1970,Jennifer,29185.6,2
1970,Robert,20004.0,8
1970,Ruth,0.0,12
1970,Emma,0.0,12
1970,Joshua,0.0,12
1970,Matthew,0.0,12
1970,Joseph,0.0,12
1970,Brian,16222.65,9
1970,Betty,0.0,12
1970,Isabella,0.0,12
1970,Charles,0.0,12
1970,Liam,0.0,12
1970,Noah,0.0,12
1970,Christopher,23921.9,3
1970,Ethan,0.0,12
1970,Lisa,0.0,12
1970,Barbara,0.0,12
1970,Michael,35640.6,1
1970,Patricia,0.0,12
1970,Emily,0.0,12
1970,Jessica,0.0,12
1970,Daniel,0.0,12
1970,Ashley,0.0,12
1970,Mason,0.0,12
1970,James,22390.7,6
1970,Linda,0.0,12
1970,John,20263.65,7
1970,Helen,0.0,12
1980,Matthew,23073.05,4
1980,William,0.0,12
1980,Mason,0.0,12
1980,Patricia,0.0,12
1980,Robert,0.0,12
1980,Mary,0.0,12
1980,Ruth,0.0,12
1980,Sophia,0.0,12
1980,Michael,33439.7,1
1980,Nicholas,0.0,12
1980,Olivia,0.0,12
1980,Noah,0.0,12
1980,Richard,0.0,12
1980,Amanda,18542.8,8
1980,Frank,0.0,12
1980,Joshua,19954.75,6
1980,Betty,0.0,12
1980,Joseph,0.0,12
1980,John,0.0,12
1980,Brian,0.0,12
1980,Jessica,23572.95,3
1980,Charles,0.0,12
1980,Jennifer,22125.9,5
1980,Christopher,27921.8,2
1980,Jason,0.0,12
1980,Barbara,0.0,12
1980,James,17948.4,9
1980,Daniel,0.0,12
1980,David,19307.2,7
1980,Isabella,0.0,12
1980,Donald,0.0,12
1980,Helen,0.0,12
1980,George,0.0,12
1980,Dorothy,0.0,12
1980,Elizabeth,0.0,12
1980,Ethan,0.0,12
1980,Emma,0.0,12
1980,Jacob,0.0,12
1980,Liam,0.0,12
1980,Emily,0.0,12
1980,Linda,0.0,12
1980,Lisa,0.0,12
1980,Ashley,17867.95,10
1980,Anna,0.0,12
1980,Mark,0.0,12
1980,Margaret,0.0,12
1980,Andrew,0.0,12
1990,Noah,0.0,12
1990,David,0.0,12
1990,Isabella,0.0,12
1990,Daniel,13663.7,10
1990,Jacob,14943.55,7
1990,Richard,0.0,12
1990,Anna,0.0,12
1990,Liam,0.0,12
1990,Margaret,0.0,12
1990,Helen,0.0,12
1990,Donald,0.0,12
1990,Robert,0.0,12
1990,George,0.0,12
1990,Amanda,0.0,12
1990,Dorothy,0.0,12
1990,Frank,0.0,12
1990,Ethan,0.0,12
1990,Olivia,0.0,12
1990,Mary,0.0,12
1990,Elizabeth,0.0,12
1990,Emma,0.0,12
1990,Mark,0.0,12
1990,Patricia,0.0,12
1990,Andrew,13673.75,9
1990,James,0.0,12
1990,Charles,0.0,12
1990,Christopher,18061.7,2
1990,Ashley,15155.65,6
1990,Barbara,0.0,12
1990,Joshua,16501.45,4
1990,Joseph,0.0,12
1990,Matthew,17616.0,3
1990,Betty,0.0,12
1990,Michael,23211.05,1
1990,Ruth,0.0,12
1990,John,0.0,12
1990,Mason,0.0,12
1990,Brian,0.0,12
1990,Jessica,15191.85,5
1990,Linda,0.0,12
1990,Sophia,0.0,12
1990,William,0.0,12
1990,Nicholas,13794.95,8
1990,Lisa,0.0,12
1990,Emily,0.0,12
1990,Jennifer,0.0,12
1990,Jason,0.0,12
2000,David,0.0,12
2000,Emily,11200.2,4
2000,Christopher,10180.75,7
2000,Patricia,0.0,12
2000,Elizabeth,0.0,12
2000,Barbara,0.0,12
2000,Charles,0.0,12
2000,Daniel,10205.5,6
2000,Dorothy,0.0,12
2000,Andrew,10137.85,8
2000,Ruth,0.0,12
2000,Anna,0.0,12
2000,Amanda,0.0,12
2000,Donald,0.0,12
2000,Robert,0.0,12
2000,Sophia,0.0,12
2000,Brian,0.0,12
2000,Richard,0.0,12
2000,Betty,0.0,12
2000,Ashley,0.0,12
2000,Mark,0.0,12
2000,William,0.0,12
2000,Jessica,0.0,12
2000,Joseph,9747.3,10
2000,Jennifer,0.0,12
2000,Jason,0.0,12
2000,Joshua,11614.15,3
2000,James,0.0,12
2000,Nicholas,0.0,12
2000,Liam,0.0,12
2000,Matthew,11091.6,5
2000,Jacob,13710.65,1
2000,Mason,0.0,12
2000,Michael,12561.95,2
2000,Linda,0.0,12
2000,Helen,0.0,12
2000,Lisa,0.0,12
2000,Isabella,0.0,12
2000,John,0.0,12
2000,Emma,0.0,12
2000,George,0.0,12
2000,Margaret,0.0,12
2000,Frank,0.0,12
2000,Mary,0.0,12
2000,Olivia,0.0,12
2000,Noah,0.0,12
2000,Ethan,10103.7,9
2010,Ruth,0.0,12
2010,Sophia,10159.166666666666,1
2010,John,0.0,12
2010,Matthew,0.0,12
2010,William,8376.583333333334,8
2010,Barbara,0.0,12
2010,Joseph,0.0,12
2010,Lisa,0.0,12
2010,Amanda,0.0,12
2010,Ashley,0.0,12
2010,Liam,8007.166666666667,10
2010,Mason,8760.833333333334,7
2010,Margaret,0.0,12
2010,Andrew,0.0,12
2010,Anna,0.0,12
2010,Linda,0.0,12
2010,Mary,0.0,12
2010,Joshua,0.0,12
2010,Emma,9939.833333333334,2
2010,Jessica,0.0,12
2010,Patricia,0.0,12
2010,Elizabeth,0.0,12
2010,Ethan,8277.083333333334,9
2010,Dorothy,0.0,12
2010,Mark,0.0,12
2010,Frank,0.0,12
2010,Donald,0.0,12
2010,George,0.0,12
2010,Olivia,9120.5,5
2010,Richard,0.0,12
2010,David,0.0,12
2010,Helen,0.0,12
2010,Isabella,9343.083333333334,4
2010,Daniel,0.0,12
2010,Jacob,9363.416666666666,3
2010,Noah,9009.25,6
2010,Christopher,0.0,12
2010,Nicholas,0.0,12
2010,Robert,0.0,12
2010,James,0.0,12
2010,Charles,0.0,12
2010,Jason,0.0,12
2010,Emily,0.0,12
2010,Brian,0.0,12
2010,Jennifer,0.0,12
2010,Betty,0.0,12
2010,Michael,0.0,12
